Ticker,Method,KL_Divergence,Variance_Ratio,LjungBox_PValue,Entropy_Ratio,Trend_MSE_LinReg,Residual_MSE_LinReg,Trend_MSE_LSTM,Residual_MSE_LSTM
PG,Classical,18.28590176961007,7.096789309186272e-05,7459.7520539020425,557.9316681970043,6.331270190335259e-07,9.591931872753586e-05,,
PG,STL_Short,19.325703933190688,4.231861018421116e-05,5931.552475498453,592.0048709448433,2.47481199191761e-09,5.8931121004659386e-05,,
PG,STL_Long,18.11596219889986,0.0001351130281166754,18378.7664527994,798.9031136520102,4.4318427308816664e-10,9.033796602098736e-05,,
PG,Wavelet,18.63482819332599,3.662303472877588e-05,4409.530659890234,380.603221919671,9.79758800480694e-07,7.060956025562004e-05,,
CNP,Classical,19.073090770612684,0.0002410957682257064,8363.750151368105,303.3833149177923,1.1176585800435695e-06,0.00020742457897792013,,
CNP,STL_Short,20.645079036656476,0.00013688808053529756,6236.849281949348,325.5457762932093,9.126242966387142e-09,0.0001262758226843184,,
CNP,STL_Long,19.048567260531964,0.0005086303806023953,20144.07471906422,419.9440991396752,6.927048460780222e-10,0.0002023249176646522,,
CNP,Wavelet,19.77923362621119,0.00012719799923473468,5163.99894805717,199.9882860225835,2.3509252469000946e-06,0.00016084142196599042,,
CVX,Classical,20.003187234391902,0.000125415980695412,8060.983116758987,432.1576835605834,1.720714228412037e-06,0.00024372021953650373,,
CVX,STL_Short,20.14082838341516,7.152165742804253e-05,5865.463865927299,460.5349490699658,4.578294712536855e-09,0.00015841757759889119,,
CVX,STL_Long,19.777405313814935,0.00025461434867207414,19169.451489986866,639.1369895094518,7.90106110372512e-10,0.00023522475039727166,,
CVX,Wavelet,20.403923407767003,6.171560340187419e-05,4290.8712133625195,279.2192311433446,3.435666850457851e-06,0.00017618479184732078,,
CAT,Classical,20.228962993010967,0.00024014873652013764,9098.641052881901,285.38543368191426,2.142595923205767e-06,0.00026366206299874577,,
CAT,STL_Short,20.76974941073261,0.00013712602176947078,7029.298607549019,302.3434947487763,9.571321988038543e-10,0.00016679681779654365,,
CAT,STL_Long,20.00748230553371,0.0004996417902953019,20047.8206619842,423.0787475636483,1.903171605341778e-09,0.00025176867766394295,,
CAT,Wavelet,20.905052335013494,0.0001164841971701566,5243.207431517097,188.917764478928,4.083878838274932e-06,0.00018768354001575047,,
DIS,Classical,19.187494839578697,0.0001306717586682766,8034.311576225722,375.2109115239559,1.1284814259232843e-06,0.00020134461947038525,,
DIS,STL_Short,20.059224579504725,7.679078119042362e-05,6309.813272141674,394.5724958595445,2.6208326628292354e-09,0.00012837900835541038,,
DIS,STL_Long,19.25772303727727,0.00026957126490873066,19877.729735942783,484.1218021952408,1.7998442127014757e-11,0.00019266598467772072,,
DIS,Wavelet,19.618450774798752,6.391307929514982e-05,4144.653107838403,259.35719431394,2.418789185360128e-06,0.00014755970078169782,,
