Method,KL_Divergence_Score,Variance_Ratio_Score,LjungBox_Score,Entropy_Ratio_Score,Trend_Forecastable_LinReg,Residual_Unforecastable_LinReg,Trend_Forecastable_LSTM,Residual_Unforecastable_LSTM,Information_Separation,Pattern_Predictability,Forecastability_LinReg,Forecastability_LSTM,Forecastability_Overall,FINAL_SCORE
STL_Long,0.0,0.0,100.0,100.0,100.0,89.35128589882885,100.0,89.35128589882885,0.0,100.0,94.67564294941442,94.67564294941442,94.67564294941442,64.89188098313814
STL_Short,100.0,95.34642357605028,10.919992766623285,52.63306477600062,99.8800607368839,0.0,99.8800607368839,0.0,97.67321178802514,31.776528771311952,49.94003036844195,49.94003036844195,49.94003036844195,59.79659030925969
Classical,12.073605242822799,68.10760498803268,23.888976841935275,44.33352091945641,49.19982842895914,100.0,49.19982842895914,100.0,40.090605115427735,34.11124888069584,74.59991421447957,74.59991421447957,74.59991421447957,49.60058940353438
Wavelet,66.217059043748,100.0,0.0,0.0,0.0,27.882910847419325,0.0,27.882910847419325,83.108529521874,0.0,13.941455423709662,13.941455423709662,13.941455423709662,32.34999498186122
